,budget,revenue,title,vote_average,vote_count,tconst,startYear,runtimeMinutes,genre_1,genre_2,genre_3,genre_4,prod_company_1,prod_company_2,prod_company_3,prod_company_4,prod_company_5,writer_1,writer_2,writer_3,writer_4,writer_5,director_1,director_2,director_3,cast_1,cast_2,cast_3,cast_4,cast_5,cast_6,cast_7,cast_8,cast_9,cast_10,others_1,others_2,others_3,others_4,others_5,others_6,others_7,others_8,others_9,others_10
1149,7000000.0,10569964.0,SMART PEOPLE,5.9,139.0,tt0858479,2008,95,Comedy,Drama,Romance,,GEM Global Entertainment Magyar,Miramax,Sherazade Film Development,Groundswell Productions,QED International,nm1729394,nm1729171,,,,nm1729171,,,nm0000598,nm0002006,nm0000572,nm0680983,,,,,,,nm1545611,nm0424660,nm0518757,nm0660295,,,,,,
1150,25000000.0,17741298.0,DECEPTION,5.8,358.0,tt0800240,2008,107,Thriller,,,,Rifkin-Eberts,Seed Productions,Dune Entertainment III,Kanzaman,Media Rights Capital,nm2251947,nm0093560,,,,nm2251947,,,nm0413168,nm0000191,nm0931329,nm0022883,,,,,,,nm0107509,nm0124239,nm0248178,nm0657561,,,,,,
1151,2000000.0,5364858.0,DIARY OF THE DEAD,5.5,352.0,tt0848557,2007,95,Horror,Action,Science Fiction,,Artfire Films,,,,,nm0001681,,,,,nm0001681,,,nm1382242,nm1208725,nm0731575,nm0775539,nm0717395,,,,,,nm1583132,nm0344657,nm1433420,nm1742493,nm0002640,,,,,
1152,35000000.0,85416905.0,MAX PAYNE,5.2,1114.0,tt0467197,2008,100,Action,Drama,Crime,Thriller,Dune Entertainment,Abandon Entertainment,Collision Entertainment,Depth Entertainment,Firm Films,nm0601382,nm2830774,nm1053843,,,nm0601382,,,nm0000242,nm0005109,nm0000977,nm0524839,,,,,,,nm0269683,nm0798930,nm0001937,,,,,,,
1153,150000000.0,309979994.0,BOLT,6.4,3650.0,tt0397892,2008,96,Animation,Family,Adventure,Comedy,Walt Disney Animation Studios,,,,,nm0930261,nm1557594,nm0397174,,,nm0930261,nm0397174,,nm0000237,nm1415323,nm0261435,nm0910559,,,,,,,nm1192875,nm0694173,nm0064179,nm1713427,,,,,,
1154,50000.0,249905.0,THE SIGNAL,6.0,149.0,tt0780607,2007,103,Horror,Science Fiction,Thriller,,Pop Films,Shoreline Entertainment,,,,nm1402180,nm0124112,nm1410159,,,nm1402180,nm0124112,nm1410159,nm1768017,nm0919482,nm1407651,nm0628897,,,,,,,nm1402995,nm1705911,nm1730211,,,,,,,
1155,2600000.0,2850263.0,AIRBORNE,6.0,40.0,tt0106233,1993,91,Action,Adventure,Comedy,,,,,,,nm0101385,nm0031894,nm0568544,,,nm0101385,,,nm0567574,nm0001293,nm0694044,nm0175621,,,,,,,nm0202704,nm0004841,nm0645401,,,,,,,
1156,10000000.0,17500000.0,IN THE LAND OF WOMEN,5.8,286.0,tt0419843,2007,97,Romance,Comedy,Drama,,Castle Rock Entertainment,Anonymous Content,Land Films Inc.,,,nm0440459,,,,,nm0440459,,,nm0111013,nm0829576,nm0000212,nm0025745,nm0001156,,,,,,nm0326512,nm1198322,nm0871136,nm0131700,nm0505278,,,,,
1157,8000000.0,458232.0,BROOKLYN RULES,6.0,31.0,tt0283503,2007,99,Drama,Action,Thriller,,,,,,,nm0180912,nm1010540,,,,nm0180912,,,nm1923509,nm1307735,nm1770233,nm0642104,,,,,,,nm0507669,nm0689909,nm0718666,nm0003452,,,,,,
1158,2000000.0,622806.0,SHERRYBABY,6.4,71.0,tt0423169,2006,96,Drama,,,,Red Envelope Entertainment,,,,,nm0172877,,,,,nm0172877,,,nm0350454,nm1364532,nm0098734,nm0403630,,,,,,,nm0843543,nm1196755,nm0515187,nm0277655,nm0165679,,,,,
