,budget,revenue,title,vote_average,vote_count,tconst,startYear,runtimeMinutes,genre_1,genre_2,genre_3,genre_4,prod_company_1,prod_company_2,prod_company_3,prod_company_4,prod_company_5,writer_1,writer_2,writer_3,writer_4,writer_5,director_1,director_2,director_3,cast_1,cast_2,cast_3,cast_4,cast_5,cast_6,cast_7,cast_8,cast_9,cast_10,others_1,others_2,others_3,others_4,others_5,others_6,others_7,others_8,others_9,others_10,profit,rev_budget_ratio
3335,1794196.9936567163,4422481.492537313,THE BLACK CAT,6.8,100.0,tt0024894,1934,65,Horror,Mystery,,,Universal Pictures,,,,,nm0000590,nm0880618,nm0750538,nm0453311,,nm0880618,,,nm0000472,nm0000509,nm0543115,nm0084098,,,,,,,nm0193568,,,,,,,,,,2628284.498880597,2.46488067261998
1598,21114982.77372263,26375399.489051096,ANNA KARENINA,7.2,39.0,tt0026071,1935,95,Drama,Romance,,,Metro-Goldwyn-Mayer,,,,,nm0067103,nm0199304,nm0113284,nm0866243,nm0826554,nm0113284,,,nm0001256,nm0545298,nm0000861,nm0001577,,,,,,,nm0006388,,,,,,,,,,5260416.715328466,1.2491319444444444
2672,11748874.96350365,9109502.116788322,SYLVIA SCARLETT,6.5,29.0,tt0027067,1935,95,Comedy,Drama,Romance,,RKO Radio Pictures,,,,,nm0171924,nm0533283,nm0881148,nm0644420,nm0002030,nm0002030,,,nm0000031,nm0000026,nm0000731,nm0350324,,,,,,,nm0075825,,,,,,,,,,-2639372.8467153274,0.7753510140405617
2124,4453941.6788321175,17412529.19708029,THE INFORMER,6.9,42.0,tt0026529,1935,91,Crime,Drama,,,RKO Radio Pictures,,,,,nm0629580,nm0000406,nm0641018,,,nm0000406,,,nm0572142,nm0029456,nm0288003,nm0334375,,,,,,,nm0000070,nm0005641,nm0387000,,,,,,,,12958587.518248174,3.909465020576131
2422,11162347.664233577,58689387.88321168,TOP HAT,7.7,131.0,tt0027125,1935,101,Comedy,Music,Romance,,RKO Radio Pictures,,,,,nm0778818,nm0391750,nm0015801,nm0267022,nm0762263,nm0762263,,,nm0000001,nm0001677,nm0002143,nm0722424,nm0110813,,,,,,nm0075825,,,,,,,,,,47527040.21897811,5.2577996715927755
356,3812.4274452554746,2749.3467153284673,CAPTAIN HURRICANE,4.0,1.0,tt0026176,1935,72,Comedy,Drama,Romance,,RKO Radio Pictures,,,,,nm0731910,nm0522674,nm0060239,,,nm0731910,,,nm0059165,nm0922818,nm0532997,nm0516876,nm0871287,,,,,,nm0005635,nm0387000,,,,,,,,,-1063.0807299270073,0.7211538461538461
2103,5132.11386861314,15231.380802919708,STAR OF MIDNIGHT,5.7,9.0,tt0027040,1935,90,Romance,Comedy,Mystery,,RKO Radio Pictures,,,,,nm0892044,nm0731596,nm0442137,nm0337914,nm0733907,nm0731596,,,nm0001635,nm0001677,nm0446769,nm0516876,,,,,,,nm0402478,,,,,,,,,,10099.266934306568,2.967857142857142
1106,35741507.29927008,81747242.33576643,MUTINY ON THE BOUNTY,7.4,127.0,tt0026752,1935,132,Adventure,Drama,History,,Metro-Goldwyn-Mayer,,,,,nm0421255,nm0299154,nm0635079,nm0355681,nm0933133,nm0515979,,,nm0001452,nm0000022,nm0867144,nm0612743,,,,,,,,,,,,,,,,,46005735.036496356,2.287179487179487
2123,21678302.15827338,49426528.92086331,THE CHARGE OF THE LIGHT BRIGADE,6.6,28.0,tt0027438,1936,115,Action,Adventure,Drama,War,Warner Bros. Pictures,,,,,nm0415004,nm0855139,nm0500284,nm0002031,,nm0002031,,,nm0001224,nm0000014,nm0461549,nm0827261,,,,,,,nm0000070,nm0005835,,,,,,,,,27748226.762589928,2.2800000000000002
2122,23484827.338129494,95258072.73381294,SAN FRANCISCO,7.1,23.0,tt0028216,1936,115,Music,Drama,Romance,,Metro-Goldwyn-Mayer,,,,,nm0886754,nm0542534,nm0002616,nm0394267,,nm0886754,,,nm0000022,nm0531776,nm0000075,nm0392442,,,,,,,nm0256221,nm0405156,,,,,,,,,71773245.39568345,4.056153846153847
2121,15608377.553956835,23051261.294964027,MARY OF SCOTLAND,7.0,14.0,tt0027948,1936,123,Drama,History,,,RKO Radio Pictures,,,,,nm0629580,nm0027173,nm0000406,nm0644420,nm0329574,nm0329574,nm0000406,,nm0000031,nm0545298,nm0253158,nm0910498,,,,,,,nm0075825,,,,,,,,,,7442883.741007192,1.4768518518518516
2423,27097877.697841726,153554640.2877698,MODERN TIMES,8.3,1892.0,tt0027977,1936,87,Drama,Comedy,,,United Artists,Charles Chaplin Productions,,,,nm0000122,,,,,nm0000122,,,nm0000122,nm0002104,nm0074788,nm0761866,nm0174682,nm0003424,nm0090008,nm0305087,,,nm0005806,nm0005906,,,,,,,,,126456762.58992806,5.666666666666667
3599,16005813.093525179,46969654.67625899,SWING TIME,6.9,102.0,tt0028333,1936,103,Comedy,Music,Romance,Drama,RKO Radio Pictures,,,,,nm0416861,nm0312510,nm0391750,nm0512231,nm0778818,nm0828419,,,nm0000001,nm0001677,nm0602005,nm0110813,,,,,,,nm0006153,,,,,,,,,,30963841.58273381,2.9345372460496613
